Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
75,108(30242a210964ba37a9a1cf24ca0211f77c1fdaea34975f0ce4593865d207c283),51.513827,-0.142363,281(80d45ecde870d05fa93827beab0cabdecdca36cbc35e09607bb0cb90d287be72),51.512078,-0.141526,202.92188573942673
76,281(80d45ecde870d05fa93827beab0cabdecdca36cbc35e09607bb0cb90d287be72),51.512078,-0.141526,582(fde14ee09f8b8fcafcdc16a81fd38f20984a4bbef4923c15528f615078d54520),51.513114,-0.138803,220.85833878531594
77,582(fde14ee09f8b8fcafcdc16a81fd38f20984a4bbef4923c15528f615078d54520),51.513114,-0.138803,111(307ae51b6be97fb1acf4ed9293ac03ef31b14bbf34a53630d9d20587f68a6608),51.513708,-0.140004,106.15899907108042
78,111(307ae51b6be97fb1acf4ed9293ac03ef31b14bbf34a53630d9d20587f68a6608),51.513708,-0.140004,120(3529eabdc26793bf6f3e3664f1f7170379545b44930ce976195132da5d1d9ff6),51.514684,-0.140844,123.11256697361073
79,120(3529eabdc26793bf6f3e3664f1f7170379545b44930ce976195132da5d1d9ff6),51.514684,-0.140844,240(6eafbcb60dd441340fb3213a125781e865fdbf34467340aaf71d73b511e454af),51.515088,-0.140222,62.21404181193927
80,240(6eafbcb60dd441340fb3213a125781e865fdbf34467340aaf71d73b511e454af),51.515088,-0.140222,292(85c3e3086e39ca8c88bdf8fb7c1b06b42e2dc1d1822405832b25d7845a1372a3),51.516058,-0.140154,107.96166691009631
81,292(85c3e3086e39ca8c88bdf8fb7c1b06b42e2dc1d1822405832b25d7845a1372a3),51.516058,-0.140154,523(e228a4a7d5ebcc6441be0fc2d96ef12724f0e86cf99f5a118752b3c7ab76dc46),51.516166,-0.137324,196.19255207872797
82,523(e228a4a7d5ebcc6441be0fc2d96ef12724f0e86cf99f5a118752b3c7ab76dc46),51.516166,-0.137324,467(ca54b19a04bacb1d0fe1b137fac32c2c47de8b7b04abb05d9bfccdc1e9d9c5a3),51.515087,-0.136201,142.9460079225124
83,467(ca54b19a04bacb1d0fe1b137fac32c2c47de8b7b04abb05d9bfccdc1e9d9c5a3),51.515087,-0.136201,255(771724650c54d47ff50384be4861c19f978eb92625c373a0a3a5599b266ac2e5),51.515684,-0.135874,70.13382585370877
84,255(771724650c54d47ff50384be4861c19f978eb92625c373a0a3a5599b266ac2e5),51.515684,-0.135874,543(eb0c3ed22aad820e1dd02c5d6980b9e641559f05d226cbe2d590814d20909250),51.514246,-0.131436,346.2334585075018
85,543(eb0c3ed22aad820e1dd02c5d6980b9e641559f05d226cbe2d590814d20909250),51.514246,-0.131436,399(aef4e58b66cf07b8123de3542bb73b33d6623c8aa3be805f7e596869b8c681a5),51.514492,-0.131037,38.865988605230804
86,399(aef4e58b66cf07b8123de3542bb73b33d6623c8aa3be805f7e596869b8c681a5),51.514492,-0.131037,191(53b5c0c1e820a9e094e5654bcbf6d9db769aef9f4138000ca3d9aac9b4f10777),51.513406,-0.131715,129.55167014983004
87,191(53b5c0c1e820a9e094e5654bcbf6d9db769aef9f4138000ca3d9aac9b4f10777),51.513406,-0.131715,250(7475a3e89611e136ca8420f9124a4bb624cdba4d3c78365bd97f328e82fcbe84),51.512513,-0.133841,177.4949512290502
88,250(7475a3e89611e136ca8420f9124a4bb624cdba4d3c78365bd97f328e82fcbe84),51.512513,-0.133841,161(4a13394d68daeb1fa1693f131f3078aa7a8fb7a43f94b1e3e0e4b6449ee3f416),51.512136,-0.134995,90.19289403296712
89,161(4a13394d68daeb1fa1693f131f3078aa7a8fb7a43f94b1e3e0e4b6449ee3f416),51.512136,-0.134995,290(848c496edfc0a97640af5bc7d015fccb42883a382383d0dab86443ab6958c81e),51.509158,-0.13493,331.1690430899316
90,290(848c496edfc0a97640af5bc7d015fccb42883a382383d0dab86443ab6958c81e),51.509158,-0.13493,174(4d80ce2f3c4209a59242c8401dbc94189f26bc8498d17e93ac2903978981eb20),51.510952,-0.134064,208.29199364190717
91,174(4d80ce2f3c4209a59242c8401dbc94189f26bc8498d17e93ac2903978981eb20),51.510952,-0.134064,182(4f67f31e08b8c5000ef5059d76ee2f0828ce70695f4f68af352c97a49f3c3355),51.51179,-0.131925,174.9124170233363
92,182(4f67f31e08b8c5000ef5059d76ee2f0828ce70695f4f68af352c97a49f3c3355),51.51179,-0.131925,466(ca0cceb7c428b05021742a7666cc177b1fc487f96f4dc434d290b7c220ea75a5),51.51179,-0.131925,0.0
93,466(ca0cceb7c428b05021742a7666cc177b1fc487f96f4dc434d290b7c220ea75a5),51.51179,-0.131925,183(4fb86145c1d3c8d688b9da6914f1e27457a52706191ef0c421b6fb69055e9a50),51.510942,-0.131196,106.94083121915067
94,183(4fb86145c1d3c8d688b9da6914f1e27457a52706191ef0c421b6fb69055e9a50),51.510942,-0.131196,504(da6b3e043bbf17b747b4262b77fa0dfff967b41b4c73b9a62f9b8fd78dd98ae6),51.510942,-0.131196,0.0
95,504(da6b3e043bbf17b747b4262b77fa0dfff967b41b4c73b9a62f9b8fd78dd98ae6),51.510942,-0.131196,232(6a49ccac8c508acb24e193b73ee7351e70eb8d4ccd0fa467e84c78899126ed74),51.511703,-0.128701,192.2827464361332
96,232(6a49ccac8c508acb24e193b73ee7351e70eb8d4ccd0fa467e84c78899126ed74),51.511703,-0.128701,139(3e07b821c08c3600408345d34ab02355a4026cbe31c5ebda6dfd5c0a40d780a4),51.511703,-0.128701,0.0
97,139(3e07b821c08c3600408345d34ab02355a4026cbe31c5ebda6dfd5c0a40d780a4),51.511703,-0.128701,360(9fac4a3e35c15cc6cb5c821646e14ca8849a87688c5df9e41a012f40bca8fb58),51.513064,-0.129438,159.699216593477
98,360(9fac4a3e35c15cc6cb5c821646e14ca8849a87688c5df9e41a012f40bca8fb58),51.513064,-0.129438,447(c1639011656d9c0e000cb6480745823898976881fe6c180d0b4d523e56a874e3),51.513848,-0.129593,87.83419354531902
99,447(c1639011656d9c0e000cb6480745823898976881fe6c180d0b4d523e56a874e3),51.513848,-0.129593,160(482f523bd8a12fc167db962a285126aa4aa879eb1551a8f36d998bd286fda011),51.513361,-0.12833,102.81574969400401
100,160(482f523bd8a12fc167db962a285126aa4aa879eb1551a8f36d998bd286fda011),51.513361,-0.12833,261(78ce8cf7642935cddacf649316333040a58787e9f199ff896027f72038cea5e7),51.513243,-0.127139,83.45542154434028
101,261(78ce8cf7642935cddacf649316333040a58787e9f199ff896027f72038cea5e7),51.513243,-0.127139,342(9803c3080288537591d6d5f20972d492e374724a1ea2e219ec2edc296b7e8d70),51.51401,-0.124528,199.79806981822537
102,342(9803c3080288537591d6d5f20972d492e374724a1ea2e219ec2edc296b7e8d70),51.51401,-0.124528,432(bba35131090c9ba135f7927188221dff32f43c1d7a9c4aaec58ba9476bbb1b9b),51.513777,-0.123456,78.5759103371471
103,432(bba35131090c9ba135f7927188221dff32f43c1d7a9c4aaec58ba9476bbb1b9b),51.513777,-0.123456,143(403b3551377583f18bc2051096f0e65606a857f99514df82f2a21d4d125c8783),51.514445,-0.125259,145.20252253589857
104,143(403b3551377583f18bc2051096f0e65606a857f99514df82f2a21d4d125c8783),51.514445,-0.125259,550(eeab5c6310d2795e1186a098e9723aa836805b35e841cf282fda86daa4aeac9b),51.51968,-0.125347,582.1372877697746
105,550(eeab5c6310d2795e1186a098e9723aa836805b35e841cf282fda86daa4aeac9b),51.51968,-0.125347,47(163f508cb9ef304900f275a667d784f75ee17eadcde04ab1ec46c2340e1adc1f),51.5186,-0.123056,198.8706280670269
106,47(163f508cb9ef304900f275a667d784f75ee17eadcde04ab1ec46c2340e1adc1f),51.5186,-0.123056,1(112f8b2a663198263314a16a8b52f1f6835cefcbcf0a35388c98ee5db23dd82),51.513075,-0.118888,678.681842601791
107,1(112f8b2a663198263314a16a8b52f1f6835cefcbcf0a35388c98ee5db23dd82),51.513075,-0.118888,503(da5cda3048c09e320650998bdca125746cbbf7ebc2cd14a26ae70d9b100ccf12),51.51163,-0.121916,264.05522768886397
108,503(da5cda3048c09e320650998bdca125746cbbf7ebc2cd14a26ae70d9b100ccf12),51.51163,-0.121916,235(6ac9f52c9aefe18f4bf1a01f3a33fd0906257c3ed3506a199af912a8e4a63a49),51.510373,-0.120887,156.86675096518002
109,235(6ac9f52c9aefe18f4bf1a01f3a33fd0906257c3ed3506a199af912a8e4a63a49),51.510373,-0.120887,46(15f46001bd3950c810ff1f9a71c23b4324731b81d9fa33878805dd6650793619),51.508409,-0.123461,281.82533538957665
110,46(15f46001bd3950c810ff1f9a71c23b4324731b81d9fa33878805dd6650793619),51.508409,-0.123461,131(3b58a6c7068fe09040aefcb8a9051b6db7729f0e781d933f25fb70cfcbdff1b8),51.508087,-0.124122,58.09233095522444
111,131(3b58a6c7068fe09040aefcb8a9051b6db7729f0e781d933f25fb70cfcbdff1b8),51.508087,-0.124122,98(2c04e2a48f13526a9534e27475428d5797f56515bb68a77f4940dbba82aa0647),51.506998,-0.113994,711.3314517167445
112,98(2c04e2a48f13526a9534e27475428d5797f56515bb68a77f4940dbba82aa0647),51.506998,-0.113994,485(d4d1ba9dbc9ce2382dc266bfc205bca67382e3aeb1c6eb20978148a93cc7fa41),51.501201,-0.111971,659.6294377908246
113,485(d4d1ba9dbc9ce2382dc266bfc205bca67382e3aeb1c6eb20978148a93cc7fa41),51.501201,-0.111971,289(83cdc9340a00b900f84fb16d544fd3f7a7ed4c3434720a394010733e4718e3a4),51.495541,-0.116432,701.0404958621498
114,289(83cdc9340a00b900f84fb16d544fd3f7a7ed4c3434720a394010733e4718e3a4),51.495541,-0.116432,103(2d8cf538104351ed959b3d228860dd9615583b7826bc4eaad967417572f49fc4),51.490825,-0.111492,626.0627633101841
115,103(2d8cf538104351ed959b3d228860dd9615583b7826bc4eaad967417572f49fc4),51.490825,-0.111492,545(ec6093532bc5c22a8f1c0c1a932d49916cdd41397f390d5c4d1461300f27fc2d),51.490825,-0.111492,0.0
