Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
134,345(29943),51.526132,-0.080594,55(02057),51.519775,-0.071852,930.3051227398756
135,55(02057),51.519775,-0.071852,31(9db58),51.518422,-0.073278,179.91498280908542
136,472(0951a),51.530061,-0.069615,214(71eab),51.529254,-0.05614,936.4479948803768
137,516(5291f),51.51335,-0.159461,296(99d29),51.50835,-0.170369,937.5218623016615
138,296(99d29),51.50835,-0.170369,25(ca409),51.515434,-0.175432,862.1132939139954
139,25(ca409),51.515434,-0.175432,468(67e12),51.515267,-0.181478,418.7778925308458
140,468(67e12),51.515267,-0.181478,205(116db),51.513647,-0.18196,183.19761933999456
141,214(71eab),51.529254,-0.05614,531(15ede),51.521582,-0.050053,951.3631505907039
142,531(15ede),51.521582,-0.050053,465(bb937),51.517182,-0.054824,590.2083917922824
143,465(bb937),51.517182,-0.054824,227(3ce3f),51.518735,-0.057886,273.329588191602
144,226(35be3),51.477401,-0.090503,210(4e77b),51.469029,-0.096036,1006.7166353300487
145,210(4e77b),51.469029,-0.096036,508(02fe1),51.468077,-0.093916,181.02581320022546
146,296(99d29),51.50835,-0.170369,474(394fd),51.500987,-0.16189,1007.3335460016659
147,474(394fd),51.500987,-0.16189,41(69f18),51.499842,-0.163434,166.22959984396098
148,41(69f18),51.499842,-0.163434,234(486aa),51.497988,-0.167888,370.88863148133527
149,234(486aa),51.497988,-0.167888,82(61a04),51.497252,-0.167975,82.06076191839142
150,82(61a04),51.497252,-0.167975,559(90125),51.496827,-0.16782,48.460642860191804
151,559(90125),51.496827,-0.16782,168(2bf09),51.493505,-0.161283,584.1601494855212
152,168(2bf09),51.493505,-0.161283,90(7dfe2),51.489662,-0.163368,451.0448826916352
153,90(7dfe2),51.489662,-0.163368,460(0c987),51.49012,-0.165625,164.35454343357026
154,559(90125),51.496827,-0.16782,297(a38d8),51.492965,-0.176243,724.1758872450647
155,297(a38d8),51.492965,-0.176243,357(4b986),51.490506,-0.185834,718.1068946292924
156,357(4b986),51.490506,-0.185834,337(aa7ba),51.489064,-0.191437,419.76062072920547
157,337(aa7ba),51.489064,-0.191437,148(e924d),51.487984,-0.194289,231.11630375661045
158,148(e924d),51.487984,-0.194289,27(7ac7b),51.485038,-0.203292,704.2065417265728
159,27(7ac7b),51.485038,-0.203292,442(3f894),51.490054,-0.204348,562.5258328972642
160,168(2bf09),51.493505,-0.161283,247(fd53c),51.491604,-0.149605,835.6650812550192
161,247(fd53c),51.491604,-0.149605,104(50735),51.493621,-0.138459,803.5889505149519
162,214(71eab),51.529254,-0.05614,187(0428d),51.536887,-0.047884,1022.9850060770707
163,187(0428d),51.536887,-0.047884,158(f98e7),51.538552,-0.045838,233.0260106949492
164,158(f98e7),51.538552,-0.045838,515(8e105),51.542136,-0.040709,533.521061251439
165,187(0428d),51.536887,-0.047884,445(ba063),51.53902,-0.056142,618.4351831971072
166,445(ba063),51.53902,-0.056142,455(b7681),51.54052,-0.054939,186.39169686738575
167,455(b7681),51.54052,-0.054939,553(b85d9),51.545342,-0.056118,542.3457084971487
168,553(b85d9),51.545342,-0.056118,446(53135),51.551104,-0.060892,720.7460682683817
169,446(53135),51.551104,-0.060892,400(6c267),51.552902,-0.054353,494.348324143079
170,400(6c267),51.552902,-0.054353,217(b71c9),51.554578,-0.05294,210.41626891596871
171,217(b71c9),51.554578,-0.05294,577(7283d),51.556032,-0.050022,258.53175530640806
