Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
98,525(6a7d5),51.608904,0.123764,497(fa4e7),51.600363,0.084536,2870.7856203825268
99,497(fa4e7),51.600363,0.084536,548(cd05f),51.605844,0.077682,771.6950828231309
100,548(cd05f),51.605844,0.077682,53(36cae),51.604769,0.056,1502.1314515839283
101,53(36cae),51.604769,0.056,244(44fb2),51.608598,0.035476,1479.9207180771962
102,244(44fb2),51.608598,0.035476,65(e85ee),51.607134,0.032277,274.41283333047767
103,65(e85ee),51.607134,0.032277,318(cfcbe),51.565102,-0.06943,8439.261235667653
104,318(cfcbe),51.565102,-0.06943,171(3d168),51.572656,-0.071621,853.5077922190975
105,171(3d168),51.572656,-0.071621,293(803cc),51.575269,-0.073055,306.9880593750378
106,293(803cc),51.575269,-0.073055,403(595f8),51.573918,-0.076705,293.5862116831853
107,403(595f8),51.573918,-0.076705,15(cec4c),51.570824,-0.081064,457.2905939178777
108,15(cec4c),51.570824,-0.081064,423(c15c0),51.572571,-0.09063,689.069442055988
109,423(c15c0),51.572571,-0.09063,356(421bf),51.579491,-0.099794,996.5555053788848
110,356(421bf),51.579491,-0.099794,299(2ccf2),51.577558,-0.084836,1055.726651852106
111,299(2ccf2),51.577558,-0.084836,134(cdfcf),51.58196,-0.083525,497.7922529854991
112,134(cdfcf),51.58196,-0.083525,329(c5f90),51.58423,-0.072733,787.2277986204034
113,329(c5f90),51.58423,-0.072733,546(8bdfb),51.590878,-0.059834,1157.8494696094535
114,546(8bdfb),51.590878,-0.059834,584(e701b),51.58724,-0.077528,1287.5887248650613
115,584(e701b),51.58724,-0.077528,488(2d349),51.589026,-0.086115,625.6040916046242
116,488(2d349),51.589026,-0.086115,571(ffe9e),51.59382,-0.09446,785.1734475910528
117,571(ffe9e),51.59382,-0.09446,149(18474),51.593061,-0.105349,756.9152238688129
118,149(18474),51.593061,-0.105349,473(09e90),51.594524,-0.109663,339.51358693411896
119,473(09e90),51.594524,-0.109663,361(6b397),51.603411,-0.128861,1653.7267872863806
120,361(6b397),51.603411,-0.128861,510(b82a2),51.602281,-0.121759,506.3318841225993
121,510(b82a2),51.602281,-0.121759,89(d8c20),51.601323,-0.099085,1569.6155247588886
122,89(d8c20),51.601323,-0.099085,392(e1b9b),51.60794,-0.089089,1008.9272874426225
123,392(e1b9b),51.60794,-0.089089,24(ca598),51.619443,-0.077598,1505.177482780283
124,24(ca598),51.619443,-0.077598,287(dded9),51.610971,-0.070922,1048.7696203857665
125,287(dded9),51.610971,-0.070922,490(ef0b1),51.606501,-0.066548,581.6207692840837
126,490(ef0b1),51.606501,-0.066548,561(4d2c0),51.613718,-0.069,820.1615286508315
127,561(4d2c0),51.613718,-0.069,409(f3ee1),51.61388,-0.065772,223.61204940707336
128,409(f3ee1),51.61388,-0.065772,11(a0def),51.620426,-0.060842,803.5359625949837
129,11(a0def),51.620426,-0.060842,424(76697),51.628983,-0.045407,1428.5012521189612
130,424(76697),51.628983,-0.045407,556(3a496),51.62818,-0.03933,428.862981996956
131,556(3a496),51.62818,-0.03933,263(d9298),51.630544,0.007025,3210.3786464675145
132,263(d9298),51.630544,0.007025,315(43aa8),51.622939,0.005302,853.9602756766462
133,315(43aa8),51.622939,0.005302,257(0c956),51.612721,-0.02639,2465.4671576847454
134,257(0c956),51.612721,-0.02639,437(9bdee),51.632317,-0.052301,2819.1394008259313
135,437(9bdee),51.632317,-0.052301,75(d2c1d),51.636226,-0.052682,435.45561921825
136,75(d2c1d),51.636226,-0.052682,200(14b0b),51.636943,-0.041192,796.9552913068574
137,200(14b0b),51.636943,-0.041192,295(d1ba6),51.650752,-0.029726,1727.3356984265572
138,295(d1ba6),51.650752,-0.029726,450(801c9),51.656005,-0.035686,714.3086550067858
139,450(801c9),51.656005,-0.035686,454(8d2d7),51.655359,-0.052513,1163.0101688981936
140,454(8d2d7),51.655359,-0.052513,267(662e9),51.657767,-0.069253,1185.4019806747258
141,267(662e9),51.657767,-0.069253,362(fe7ae),51.661535,-0.061618,672.9793161199166
142,362(fe7ae),51.661535,-0.061618,68(50ed1),51.679836,-0.048564,2225.2023439133873
143,68(50ed1),51.679836,-0.048564,386(61e92),51.666585,-0.085508,2942.966062462983
144,386(61e92),51.666585,-0.085508,102(af637),51.656002,-0.08779,1187.255977241469
145,102(af637),51.656002,-0.08779,146(2b603),51.646539,-0.135165,3433.627442960474
146,146(2b603),51.646539,-0.135165,395(30704),51.651448,-0.178057,3009.2099544798684
147,395(30704),51.651448,-0.178057,347(ba542),51.64643,-0.21435,2565.4149349611776
148,347(ba542),51.64643,-0.21435,29(ba74e),51.616224,-0.254319,4346.448669471847
149,29(ba74e),51.616224,-0.254319,194(cfec3),51.596899,-0.24128,2329.8795606767744
150,194(cfec3),51.596899,-0.24128,249(cce32),51.589555,-0.258056,1417.6849217720203
151,249(cce32),51.589555,-0.258056,266(861e4),51.572221,-0.26804,2047.1919738181255
152,266(861e4),51.572221,-0.26804,96(79045),51.56381,-0.271476,964.9414758618027
153,96(79045),51.56381,-0.271476,562(f8184),51.563174,-0.275901,313.9426991399291
154,562(f8184),51.563174,-0.275901,319(33902),51.559548,-0.284376,711.1881098983672
155,319(33902),51.559548,-0.284376,276(1f724),51.553863,-0.287922,678.0144713451169
156,276(1f724),51.553863,-0.287922,564(0637b),51.546966,-0.292869,839.7348092775051
157,564(0637b),51.546966,-0.292869,166(5ffeb),51.554333,-0.315427,1761.7694006792885
