Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
130,136(53257),51.588406,-0.017873,71(ba3ae),51.587939,-0.020073,160.61616060196394
131,71(ba3ae),51.587939,-0.020073,83(5da87),51.58538,-0.018712,299.6816086857669
132,83(5da87),51.58538,-0.018712,285(a833d),51.576901,-0.010768,1090.968718508203
133,285(a833d),51.576901,-0.010768,88(2d0ae),51.572725,-0.008424,491.7931436542411
134,88(2d0ae),51.572725,-0.008424,406(bdafb),51.587324,-0.034319,2415.960166339054
135,406(bdafb),51.587324,-0.034319,566(3eee1),51.588911,-0.037253,268.75200508564336
136,566(3eee1),51.588911,-0.037253,578(83178),51.583008,-0.036483,658.5359903055215
137,578(83178),51.583008,-0.036483,142(f5b0f),51.575467,-0.034556,849.0275841820765
138,142(f5b0f),51.575467,-0.034556,176(fdcf4),51.568231,-0.031506,831.7594524462033
139,176(fdcf4),51.568231,-0.031506,318(cfcbe),51.565102,-0.06943,2644.2652509595637
140,318(cfcbe),51.565102,-0.06943,171(3d168),51.572656,-0.071621,853.5077922190975
141,171(3d168),51.572656,-0.071621,293(803cc),51.575269,-0.073055,306.9880593750378
142,293(803cc),51.575269,-0.073055,403(595f8),51.573918,-0.076705,293.5862116831853
143,403(595f8),51.573918,-0.076705,15(cec4c),51.570824,-0.081064,457.2905939178777
144,15(cec4c),51.570824,-0.081064,423(c15c0),51.572571,-0.09063,689.069442055988
145,423(c15c0),51.572571,-0.09063,356(421bf),51.579491,-0.099794,996.5555053788848
146,356(421bf),51.579491,-0.099794,299(2ccf2),51.577558,-0.084836,1055.726651852106
147,299(2ccf2),51.577558,-0.084836,134(cdfcf),51.58196,-0.083525,497.7922529854991
148,134(cdfcf),51.58196,-0.083525,546(8bdfb),51.590878,-0.059834,1913.7467032007803
149,546(8bdfb),51.590878,-0.059834,329(c5f90),51.58423,-0.072733,1157.8494696094535
150,329(c5f90),51.58423,-0.072733,584(e701b),51.58724,-0.077528,470.92805920548824
151,584(e701b),51.58724,-0.077528,488(2d349),51.589026,-0.086115,625.6040916046242
152,488(2d349),51.589026,-0.086115,571(ffe9e),51.59382,-0.09446,785.1734475910528
153,571(ffe9e),51.59382,-0.09446,149(18474),51.593061,-0.105349,756.9152238688129
154,149(18474),51.593061,-0.105349,473(09e90),51.594524,-0.109663,339.51358693411896
155,473(09e90),51.594524,-0.109663,510(b82a2),51.602281,-0.121759,1200.8344371891792
156,510(b82a2),51.602281,-0.121759,361(6b397),51.603411,-0.128861,506.3318841225993
157,361(6b397),51.603411,-0.128861,89(d8c20),51.601323,-0.099085,2069.540620598078
158,89(d8c20),51.601323,-0.099085,392(e1b9b),51.60794,-0.089089,1008.9272874426225
159,392(e1b9b),51.60794,-0.089089,24(ca598),51.619443,-0.077598,1505.177482780283
