Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
120,65(e85ee),51.607134,0.032277,318(cfcbe),51.565102,-0.06943,8439.261235667653
121,318(cfcbe),51.565102,-0.06943,171(3d168),51.572656,-0.071621,853.5077922190975
122,171(3d168),51.572656,-0.071621,293(803cc),51.575269,-0.073055,306.9880593750378
123,293(803cc),51.575269,-0.073055,403(595f8),51.573918,-0.076705,293.5862116831853
124,403(595f8),51.573918,-0.076705,15(cec4c),51.570824,-0.081064,457.2905939178777
125,15(cec4c),51.570824,-0.081064,423(c15c0),51.572571,-0.09063,689.069442055988
126,423(c15c0),51.572571,-0.09063,356(421bf),51.579491,-0.099794,996.5555053788848
128,356(421bf),51.579491,-0.099794,299(2ccf2),51.577558,-0.084836,1055.726651852106
129,299(2ccf2),51.577558,-0.084836,134(cdfcf),51.58196,-0.083525,497.7922529854991
130,134(cdfcf),51.58196,-0.083525,584(e701b),51.58724,-0.077528,718.5946620899855
131,584(e701b),51.58724,-0.077528,329(c5f90),51.58423,-0.072733,470.92805920548824
132,329(c5f90),51.58423,-0.072733,546(8bdfb),51.590878,-0.059834,1157.8494696094535
134,546(8bdfb),51.590878,-0.059834,488(2d349),51.589026,-0.086115,1827.2320006464054
135,488(2d349),51.589026,-0.086115,571(ffe9e),51.59382,-0.09446,785.1734475910528
136,571(ffe9e),51.59382,-0.09446,149(18474),51.593061,-0.105349,756.9152238688129
137,149(18474),51.593061,-0.105349,473(09e90),51.594524,-0.109663,339.51358693411896
138,473(09e90),51.594524,-0.109663,510(b82a2),51.602281,-0.121759,1200.8344371891792
139,510(b82a2),51.602281,-0.121759,361(6b397),51.603411,-0.128861,506.3318841225993
141,361(6b397),51.603411,-0.128861,89(d8c20),51.601323,-0.099085,2069.540620598078
142,89(d8c20),51.601323,-0.099085,392(e1b9b),51.60794,-0.089089,1008.9272874426225
143,392(e1b9b),51.60794,-0.089089,287(dded9),51.610971,-0.070922,1298.990115071349
144,287(dded9),51.610971,-0.070922,490(ef0b1),51.606501,-0.066548,581.6207692840837
145,490(ef0b1),51.606501,-0.066548,24(ca598),51.619443,-0.077598,1628.8390414681946
146,24(ca598),51.619443,-0.077598,561(4d2c0),51.613718,-0.069,870.4305374205513
149,561(4d2c0),51.613718,-0.069,409(f3ee1),51.61388,-0.065772,223.61204940707336
150,409(f3ee1),51.61388,-0.065772,11(a0def),51.620426,-0.060842,803.5359625949837
151,11(a0def),51.620426,-0.060842,424(76697),51.628983,-0.045407,1428.5012521189612
152,424(76697),51.628983,-0.045407,556(3a496),51.62818,-0.03933,428.862981996956
153,556(3a496),51.62818,-0.03933,257(0c956),51.612721,-0.02639,1937.23886479385
154,257(0c956),51.612721,-0.02639,315(43aa8),51.622939,0.005302,2465.4671576847454
155,315(43aa8),51.622939,0.005302,263(d9298),51.630544,0.007025,853.9602756766462
157,263(d9298),51.630544,0.007025,437(9bdee),51.632317,-0.052301,4099.463346298126
158,437(9bdee),51.632317,-0.052301,75(d2c1d),51.636226,-0.052682,435.45561921825
159,75(d2c1d),51.636226,-0.052682,200(14b0b),51.636943,-0.041192,796.9552913068574
160,200(14b0b),51.636943,-0.041192,295(d1ba6),51.650752,-0.029726,1727.3356984265572
161,295(d1ba6),51.650752,-0.029726,450(801c9),51.656005,-0.035686,714.3086550067858
162,450(801c9),51.656005,-0.035686,454(8d2d7),51.655359,-0.052513,1163.0101688981936
163,454(8d2d7),51.655359,-0.052513,362(fe7ae),51.661535,-0.061618,930.6285660619782
164,362(fe7ae),51.661535,-0.061618,68(50ed1),51.679836,-0.048564,2225.2023439133873
166,68(50ed1),51.679836,-0.048564,267(662e9),51.657767,-0.069253,2838.6015239587946
167,267(662e9),51.657767,-0.069253,102(af637),51.656002,-0.08779,1293.6914043966199
168,102(af637),51.656002,-0.08779,386(61e92),51.666585,-0.085508,1187.255977241469
170,386(61e92),51.666585,-0.085508,146(2b603),51.646539,-0.135165,4086.8419306876253
171,146(2b603),51.646539,-0.135165,395(30704),51.651448,-0.178057,3009.2099544798684
172,395(30704),51.651448,-0.178057,347(ba542),51.64643,-0.21435,2565.4149349611776
173,347(ba542),51.64643,-0.21435,29(ba74e),51.616224,-0.254319,4346.448669471847
174,29(ba74e),51.616224,-0.254319,194(cfec3),51.596899,-0.24128,2329.8795606767744
175,194(cfec3),51.596899,-0.24128,249(cce32),51.589555,-0.258056,1417.6849217720203
176,249(cce32),51.589555,-0.258056,266(861e4),51.572221,-0.26804,2047.1919738181255
177,266(861e4),51.572221,-0.26804,96(79045),51.56381,-0.271476,964.9414758618027
178,96(79045),51.56381,-0.271476,562(f8184),51.563174,-0.275901,313.9426991399291
179,562(f8184),51.563174,-0.275901,319(33902),51.559548,-0.284376,711.1881098983672
180,319(33902),51.559548,-0.284376,276(1f724),51.553863,-0.287922,678.0144713451169
181,276(1f724),51.553863,-0.287922,564(0637b),51.546966,-0.292869,839.7348092775051
182,564(0637b),51.546966,-0.292869,415(0db30),51.556456,-0.312969,1744.9763148720224
183,415(0db30),51.556456,-0.312969,166(5ffeb),51.554333,-0.315427,290.87135074874715
184,166(5ffeb),51.554333,-0.315427,457(e1cd5),51.555153,-0.316811,132.1725249731331
185,457(e1cd5),51.555153,-0.316811,144(a47d7),51.570846,-0.295091,2301.9844006030316
188,144(a47d7),51.570846,-0.295091,233(3a16f),51.558988,-0.250049,3381.0857010036707
189,233(3a16f),51.558988,-0.250049,275(f47a9),51.558235,-0.245403,331.91894651325526
190,275(f47a9),51.558235,-0.245403,48(304bf),51.549418,-0.239714,1056.3634550653571
191,48(304bf),51.549418,-0.239714,549(92504),51.549724,-0.22062,1320.6959473263187
192,549(92504),51.549724,-0.22062,271(67275),51.548631,-0.200903,1368.7532569176037
193,271(67275),51.548631,-0.200903,6(67ce6),51.542493,-0.198751,698.5495261470681
194,6(67ce6),51.542493,-0.198751,534(ba3d9),51.540267,-0.195551,332.02667021892887
195,534(ba3d9),51.540267,-0.195551,482(95134),51.535076,-0.189556,710.7008670789294
196,482(95134),51.535076,-0.189556,74(1ff43),51.54276,-0.181132,1034.1552411412251
197,74(1ff43),51.54276,-0.181132,260(bf0de),51.546295,-0.179462,409.6877522578145
198,260(bf0de),51.546295,-0.179462,565(7e786),51.553632,-0.166129,1231.0556377441108
199,565(7e786),51.553632,-0.166129,568(9302e),51.525009,-0.164973,3183.7363910239324
200,568(9302e),51.525009,-0.164973,56(e0a06),51.525009,-0.164973,0.0
201,56(e0a06),51.525009,-0.164973,300(f4d9e),51.522669,-0.165413,261.9707695809651
202,300(f4d9e),51.522669,-0.165413,25(ca409),51.515434,-0.175432,1061.9700647368925
203,25(ca409),51.515434,-0.175432,296(99d29),51.50835,-0.170369,862.1132939139954
204,296(99d29),51.50835,-0.170369,516(5291f),51.51335,-0.159461,937.5218623016615
205,516(5291f),51.51335,-0.159461,481(a4cdd),51.514052,-0.154345,362.52889775422295
206,481(a4cdd),51.514052,-0.154345,492(1f4d0),51.517684,-0.151474,450.0775190237132
208,492(1f4d0),51.517684,-0.151474,431(3b420),51.512336,-0.14705,668.8414172880979
209,431(3b420),51.512336,-0.14705,39(ae31c),51.509097,-0.146936,360.2467639715176
211,39(ae31c),51.509097,-0.146936,116(44dd1),51.514195,-0.145735,572.9321592800353
212,116(44dd1),51.514195,-0.145735,108(7c283),51.513827,-0.142363,236.90044517262677
213,108(7c283),51.513827,-0.142363,281(7be72),51.512078,-0.141526,202.92188573942673
214,281(7be72),51.512078,-0.141526,131(ff1b8),51.508087,-0.124122,1283.6008539681861
215,131(ff1b8),51.508087,-0.124122,46(93619),51.508409,-0.123461,58.09233095522444
216,46(93619),51.508409,-0.123461,235(63a49),51.510373,-0.120887,281.82533538957665
217,235(63a49),51.510373,-0.120887,98(a0647),51.506998,-0.113994,606.9677865849076
218,98(a0647),51.506998,-0.113994,485(7fa41),51.501201,-0.111971,659.6294377908246
219,485(7fa41),51.501201,-0.111971,289(8e3a4),51.495541,-0.116432,701.0404958621498
220,289(8e3a4),51.495541,-0.116432,103(49fc4),51.490825,-0.111492,626.0627633101841
